City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pitimbu,-7.4706,-34.8086,79.39,78,12,11.74,BR,1670193717
1,tsabong,-26.0217,22.401,78.4,15,67,22.06,BW,1670193717
2,bredasdorp,-34.5322,20.0403,57.11,71,86,3.42,ZA,1670193717
3,talnakh,69.4865,88.3972,20.21,96,100,7.05,RU,1670193718
4,severo-kurilsk,50.6789,156.125,24.15,63,76,18.07,RU,1670193718
5,cape town,-33.9258,18.4232,63.27,64,0,13.8,ZA,1670193719
6,punta arenas,-53.15,-70.9167,46.51,71,75,29.93,CL,1670193719
7,busselton,-33.65,115.3333,61.11,68,100,13.15,AU,1670193719
8,chuy,-33.6971,-53.4616,66.27,91,6,7.14,UY,1670193720
9,samarinda,-0.5,117.15,73.81,98,100,0.13,ID,1670193720
10,new norfolk,-42.7826,147.0587,53.92,70,100,4.0,AU,1670193721
11,butaritari,3.0707,172.7902,80.46,80,35,12.15,KI,1670193721
12,mettur,11.8,77.8,70.72,94,54,3.22,IN,1670193722
13,tasiilaq,65.6145,-37.6368,26.76,65,6,3.76,GL,1670193722
14,port alfred,-33.5906,26.891,65.17,89,100,10.2,ZA,1670193723
15,santa rosa,14.3122,121.1114,79.09,90,100,8.61,PH,1670193723
16,kapaa,22.0752,-159.319,80.58,71,21,5.99,US,1670193724
17,ushuaia,-54.8,-68.3,49.62,66,40,17.27,AR,1670193481
18,narsaq,60.9167,-46.05,14.22,60,37,8.03,GL,1670193724
19,clyde river,70.4692,-68.5914,5.23,85,100,25.32,CA,1670193725
20,mataura,-46.1927,168.8643,50.49,68,100,2.73,NZ,1670193726
21,aragarcas,-15.8975,-52.2508,72.5,95,100,4.85,BR,1670193726
22,mar del plata,-38.0023,-57.5575,73.42,71,0,10.0,AR,1670193727
23,cidreira,-30.1811,-50.2056,71.92,94,65,3.13,BR,1670193728
24,atuona,-9.8,-139.0333,77.31,80,13,18.12,PF,1670193728
25,jamestown,42.097,-79.2353,33.39,49,0,9.22,US,1670193461
26,prince rupert,54.3161,-130.3201,35.29,70,0,8.05,CA,1670193729
27,marsh harbour,26.5412,-77.0636,73.98,62,16,11.7,BS,1670193729
28,sitka,57.0531,-135.33,35.49,75,0,5.75,US,1670193730
29,albany,42.6001,-73.9662,33.46,70,70,3.56,US,1670193730
30,ribeira grande,38.5167,-28.7,59.77,77,99,8.01,PT,1670193731
31,bengkulu,-3.8004,102.2655,73.98,90,100,3.29,ID,1670193731
32,sibolga,1.7427,98.7792,74.68,92,100,2.15,ID,1670193732
33,asfi,32.2994,-9.2372,67.48,64,100,20.4,MA,1670193732
34,hermanus,-34.4187,19.2345,52.81,74,56,4.27,ZA,1670193733
35,bluff,-46.6,168.3333,50.81,66,100,7.02,NZ,1670193472
36,aklavik,68.2191,-135.0107,-11.99,99,99,8.12,CA,1670193733
37,barrow,71.2906,-156.7887,21.22,86,100,21.85,US,1670193734
38,mahebourg,-20.4081,57.7,77.29,78,40,8.05,MU,1670193735
39,perth,-31.9333,115.8333,67.66,73,20,9.22,AU,1670193452
40,haapiti,-17.5667,-149.8667,85.73,76,6,14.79,PF,1670193735
41,margate,51.3813,1.3862,42.31,84,100,5.99,GB,1670193602
42,santiago del estero,-27.7951,-64.2615,88.57,20,24,4.34,AR,1670193736
43,belaya gora,68.5333,146.4167,-33.77,100,100,2.93,RU,1670193736
44,mantua,45.1667,10.7833,49.24,91,87,7.0,IT,1670193737
45,nishihara,26.1842,127.7558,70.88,95,75,4.61,JP,1670193737
46,namanyere,-7.5167,31.05,59.95,94,100,4.23,TZ,1670193738
47,qaanaaq,77.484,-69.3632,-1.7,67,46,7.76,GL,1670193738
48,arraial do cabo,-22.9661,-42.0278,75.06,78,0,16.11,BR,1670193739
49,moa,20.6569,-74.9403,77.14,62,41,13.22,CU,1670193739
50,rikitea,-23.1203,-134.9692,75.29,82,75,14.0,PF,1670193740
51,kasempa,-13.4584,25.8338,65.3,54,88,4.52,ZM,1670193740
52,kruisfontein,-34.0033,24.7314,59.88,80,75,6.96,ZA,1670193741
53,tuktoyaktuk,69.4541,-133.0374,-16.6,83,20,10.36,CA,1670193741
54,cherskiy,68.75,161.3,-30.42,100,27,4.07,RU,1670193742
55,nyanza,-2.3519,29.7509,56.07,92,100,4.14,RW,1670193742
56,port-gentil,-0.7193,8.7815,78.76,94,20,4.61,GA,1670193742
57,pevek,69.7008,170.3133,2.53,95,100,11.05,RU,1670193743
58,victoria,22.2855,114.1577,65.25,79,100,15.01,HK,1670193707
59,yellowknife,62.456,-114.3525,-3.48,65,75,12.66,CA,1670193743
60,alice springs,-23.7,133.8833,80.15,22,0,0.0,AU,1670193744
61,ancud,-41.8697,-73.8203,56.5,87,98,12.12,CL,1670193744
62,hobyo,5.3505,48.5268,79.02,73,68,17.72,SO,1670193745
63,kodiak,57.79,-152.4072,36.91,87,100,4.61,US,1670193745
64,georgetown,5.4112,100.3354,80.24,91,20,8.05,MY,1670193745
65,krasnomayskiy,57.6194,34.4099,20.3,84,100,8.86,RU,1670193746
66,luderitz,-26.6481,15.1594,60.64,69,3,18.5,NA,1670193746
67,saint-augustin,51.226,-58.6502,34.75,98,99,9.04,CA,1670193747
68,kidal,18.4411,1.4078,77.04,16,57,11.88,ML,1670193747
69,hilo,19.7297,-155.09,79.61,75,100,5.75,US,1670193589
70,tavira,37.1273,-7.6486,55.27,85,100,16.08,PT,1670193748
71,westport,41.1415,-73.3579,42.21,53,0,3.44,US,1670193748
72,te anau,-45.4167,167.7167,59.05,74,94,5.97,NZ,1670193748
73,hithadhoo,-0.6,73.0833,81.61,76,100,10.54,MV,1670193749
74,basudebpur,21.1353,86.7386,63.07,53,2,7.18,IN,1670193749
75,southbridge,42.0751,-72.0334,37.26,67,100,1.66,US,1670193750
76,hobart,-42.8794,147.3294,54.27,95,75,21.85,AU,1670193682
77,tiksi,71.6872,128.8694,-6.16,97,100,10.27,RU,1670193750
78,peniche,39.3558,-9.3811,57.11,88,99,17.49,PT,1670193751
79,xuddur,4.1213,43.8894,71.91,78,48,10.67,SO,1670193751
80,nizhnyaya tura,58.6293,59.8118,13.91,96,100,5.7,RU,1670193752
81,talara,-4.5772,-81.2719,75.96,64,0,10.36,PE,1670193752
82,lorengau,-2.0226,147.2712,81.0,80,100,4.41,PG,1670193753
83,cabo san lucas,22.8909,-109.9124,85.3,61,0,0.0,MX,1670193569
84,cubara,7.0008,-72.1085,72.57,96,82,2.1,CO,1670193753
85,carnarvon,-24.8667,113.6333,70.59,75,34,16.31,AU,1670193753
86,vaini,-21.2,-175.2,78.96,89,75,11.5,TO,1670193754
87,artyom,40.4723,50.333,35.74,55,100,10.89,AZ,1670193754
88,henties bay,-22.116,14.2845,58.41,91,2,8.25,NA,1670193755
89,zhengjiatun,43.5064,123.5064,9.41,57,0,7.2,CN,1670193755
90,puerto ayora,-0.7393,-90.3518,78.76,88,76,5.99,EC,1670193755
91,kirakira,-10.4544,161.9205,82.35,78,100,10.13,SB,1670193756
92,upernavik,72.7868,-56.1549,20.82,66,98,6.93,GL,1670193756
93,geraldton,-28.7667,114.6,64.81,88,5,9.22,AU,1670193757
94,moree,-29.4667,149.85,76.82,43,0,5.75,AU,1670193757
95,lebu,-37.6167,-73.65,58.71,80,0,13.49,CL,1670193758
96,kavieng,-2.5744,150.7967,80.38,78,100,9.46,PG,1670193758
97,itoman,26.1247,127.6694,71.62,92,75,4.61,JP,1670193758
98,lavrentiya,65.5833,-171.0,32.52,98,100,31.61,RU,1670193759
99,surt,31.2089,16.5887,68.29,51,47,5.44,LY,1670193759
100,avarua,-21.2078,-159.775,82.45,83,100,9.22,CK,1670193760
101,samarkand,39.6542,66.9597,27.82,93,100,2.3,UZ,1670193760
